,age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
2170,26,F,Village,Gold Membership,2017-05-29,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,15,391.26,27063.12,,331.99058468363813,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,3
2171,48,M,Town,No Membership,2017-09-22,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15,165.26,17477.81,,,No,Yes,Yes,No Information Available,Poor Website,4
2172,43,F,Town,No Membership,2016-05-19,Yes,Without Offers,?,Fiber_Optic,24,-704.2370655412317,30013.72,29.0,314.3121704142464,Yes,No,No,Not Applicable,Poor Website,4
2173,13,M,,Premium Membership,2017-04-12,No,Without Offers,Desktop,Mobile_Data,13,258.02,1126.56,,1267.719607602233,Yes,No,No,Not Applicable,Reasonable Price,1
2174,58,F,Village,Premium Membership,2016-05-01,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,13,424.52,13122.43,10.0,208.5135274795232,Yes,No,Yes,Unsolved,No reason specified,3
2175,42,F,,Silver Membership,2017-12-29,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,8,619.1,21431.07,26.0,774.52,Yes,No,Yes,No Information Available,Too many ads,3
2176,37,F,City,Gold Membership,2015-07-25,No,Credit/Debit Card Offers,?,Wi-Fi,8,-705.2061379811702,17944.56,5.0,616.87,Yes,No,Yes,Unsolved,Poor Customer Service,4
2177,22,M,Town,Premium Membership,2015-01-08,Yes,Without Offers,Smartphone,Wi-Fi,7,292.42,26058.32,,742.6,No,Yes,Yes,No Information Available,Poor Customer Service,3
2178,57,M,Town,No Membership,2016-11-21,Yes,Credit/Debit Card Offers,Both,Wi-Fi,12,619.25,37482.97,25.0,645.99,Yes,No,Yes,Solved,Poor Website,4
2179,34,F,Town,Premium Membership,2016-05-12,No,Without Offers,Smartphone,Fiber_Optic,14,32.3,1762.52,25.0,722.7983307956781,Yes,No,No,Not Applicable,Poor Customer Service,3
2180,62,M,City,Silver Membership,2016-12-19,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11,326.56,15163.57,15.0,687.54,No,Yes,Yes,Solved in Follow-up,No reason specified,4
2181,40,F,Town,No Membership,2017-04-22,No,Credit/Debit Card Offers,Desktop,Wi-Fi,3,1199.1817305732843,17055.21,14.0,283.1086746542734,No,Yes,No,Not Applicable,Too many ads,4
2182,60,M,City,Premium Membership,2017-02-11,No,Credit/Debit Card Offers,Both,Mobile_Data,17,407.98,39720.32,,758.48,No,Yes,Yes,Solved,Poor Customer Service,3
2183,43,M,Town,No Membership,2017-08-30,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,4,139.55,49366.78,16.0,698.12,No,Yes,Yes,Solved in Follow-up,Too many ads,4
2184,60,F,Town,Premium Membership,2017-06-30,No,Without Offers,?,Wi-Fi,20,147.46,97245.24,2.0,759.65,No,Yes,Yes,Solved,Products always in Stock,2
2185,25,F,City,Basic Membership,2016-11-23,Yes,Without Offers,Smartphone,Fiber_Optic,8,237.33,29616.36,25.0,525.22,Yes,No,No,Not Applicable,Poor Customer Service,5
2186,50,F,Town,Silver Membership,2016-04-08,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,11,1401.57,27638.86,15.0,751.89,Yes,Yes,Yes,No Information Available,Products always in Stock,2
2187,25,M,Town,Basic Membership,2015-06-23,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,16,1482.5853880690483,3085.85,16.0,683.71,Yes,No,Yes,Solved in Follow-up,Too many ads,4
2188,55,F,City,No Membership,2015-11-02,Yes,Without Offers,Desktop,Mobile_Data,11,287.52,10387.5,11.0,,Yes,No,No,Not Applicable,Poor Website,5
2189,36,F,Town,Silver Membership,2016-03-14,Yes,Credit/Debit Card Offers,?,Mobile_Data,2,1325.8304511884053,10944.6,15.0,679.45,No,Yes,Yes,Solved,Poor Product Quality,4
2190,64,M,Town,No Membership,2015-06-23,No,Without Offers,Smartphone,Wi-Fi,23,282.07,29357.53,,638.63,No,Yes,Yes,Solved,Poor Website,4
2191,55,F,Village,Basic Membership,2015-11-07,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,17,-887.5430040171412,28853.78,10.0,698.36,Yes,No,No,Not Applicable,No reason specified,4
2192,31,F,Town,No Membership,2015-06-08,Yes,Without Offers,Both,Fiber_Optic,11,747.67,42493.7,1.82507428550759,713.45,Yes,Yes,No,Not Applicable,Too many ads,4
2193,45,M,,Premium Membership,2017-10-10,?,Without Offers,?,Fiber_Optic,-999,418.61,40062.26,21.0,530.2983126721173,No,Yes,No,Not Applicable,Too many ads,3
2194,28,M,City,Silver Membership,2017-09-18,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,14,169.51,6507.29,5.0,621.02,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,4
2195,36,M,,Platinum Membership,2016-11-14,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,8,84.07,98334.89,40.79383531462888,771.45,Yes,No,No,Not Applicable,User Friendly Website,1
2197,63,M,Town,Platinum Membership,2016-02-15,No,Credit/Debit Card Offers,?,Mobile_Data,9,32.84,46343.24,6.0,785.86,Yes,No,Yes,No Information Available,Too many ads,3
2198,23,M,Village,Basic Membership,2016-06-01,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,23,109.24,4127.48,8.0,533.97,Yes,No,No,Not Applicable,Too many ads,5
2199,38,F,,Gold Membership,2015-01-18,?,Credit/Debit Card Offers,Desktop,Fiber_Optic,14,233.87,45513.9,8.0,719.21,Yes,No,No,Not Applicable,Poor Product Quality,4
2201,56,F,Town,Gold Membership,2015-04-16,No,Without Offers,Desktop,Wi-Fi,9,88.2,7231.3,,652.91,Yes,No,No,Not Applicable,Poor Product Quality,4
2202,24,M,Town,No Membership,2016-07-12,No,Without Offers,Desktop,Wi-Fi,12,343.62,7419.66,,680.81,Yes,No,No,Not Applicable,Poor Customer Service,4
2204,24,F,Town,No Membership,2017-09-29,?,Credit/Debit Card Offers,Both,Wi-Fi,6,464.22,46882.09,15.0,698.54,No,Yes,No,Not Applicable,Poor Product Quality,5
2205,43,F,Town,Premium Membership,2017-05-02,Yes,Without Offers,Smartphone,Fiber_Optic,22,54.83,89770.49,5.0,733.14,No,Yes,Yes,No Information Available,Reasonable Price,2
2206,14,F,City,Silver Membership,2017-02-17,Yes,Without Offers,Desktop,Fiber_Optic,16,32.27,43237.83,13.0,128.2721817763022,Yes,No,Yes,No Information Available,Poor Customer Service,4
2208,43,M,Town,Premium Membership,2017-06-11,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,10,186.84,3698.38,18.0,693.2898306220413,Yes,No,No,Not Applicable,No reason specified,3
2209,50,F,Village,Premium Membership,2015-06-19,Yes,Without Offers,Desktop,Wi-Fi,16,46.11,48283.81,5.0,741.49,No,Yes,No,Not Applicable,Too many ads,3
2210,31,F,,No Membership,2017-07-15,No,Without Offers,Desktop,Fiber_Optic,10,79.15,40685.79,,655.15,Yes,No,No,Not Applicable,No reason specified,4
2211,12,M,Town,No Membership,2016-08-14,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,18,97.4,28901.1,36.61576542913897,580.47,No,Yes,No,Not Applicable,No reason specified,5
2212,61,M,Town,Platinum Membership,2015-05-31,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,-999,43.26,3929.76,16.0,753.83,Yes,No,Yes,No Information Available,No reason specified,3
2213,38,F,Town,Gold Membership,2017-11-19,No,Without Offers,Desktop,Wi-Fi,13,30.83,36343.26,,631.58,Yes,No,Yes,Solved in Follow-up,No reason specified,4
2214,61,M,City,Silver Membership,2017-06-14,Yes,Without Offers,Desktop,Wi-Fi,14,2770.56,44880.09,13.0,724.02,Yes,No,No,Not Applicable,Poor Customer Service,3
2215,52,F,Town,Silver Membership,2016-02-08,No,Without Offers,Desktop,Fiber_Optic,19,34.61,14716.9,20.0,,No,Yes,Yes,Solved,Poor Product Quality,3
2216,31,M,City,No Membership,2015-08-24,No,Without Offers,Smartphone,Mobile_Data,13,34.92,22123.4,14.0,614.85,Yes,No,Yes,Solved in Follow-up,No reason specified,4
2217,39,M,City,Premium Membership,2016-05-18,No,Gift Vouchers/Coupons,?,Fiber_Optic,12,394.2,53287.99,,818.74,Yes,No,No,Not Applicable,Reasonable Price,1
2218,52,M,Town,No Membership,2017-07-01,?,Without Offers,Desktop,Wi-Fi,23,-776.4736502777721,35163.56,21.0,,No,Yes,No,Not Applicable,Poor Product Quality,4
2219,48,M,Town,Basic Membership,2017-12-08,?,Credit/Debit Card Offers,?,Wi-Fi,18,159.65,42432.89,24.0,861.0106861185022,No,Yes,No,Not Applicable,No reason specified,5
2220,21,F,,Gold Membership,2017-02-14,No,Gift Vouchers/Coupons,Both,Mobile_Data,14,438.72,45132.64,18.0,770.47,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3
2221,47,F,Town,Basic Membership,2016-05-30,No,Credit/Debit Card Offers,Both,Fiber_Optic,6,323.31,47642.81,6.0,607.65,Yes,Yes,Yes,Solved,Poor Product Quality,4
2222,20,F,City,No Membership,2017-12-05,?,Without Offers,Smartphone,Fiber_Optic,25,918.82,26172.63,,612.46,Yes,No,No,Not Applicable,No reason specified,5
2223,59,F,City,Silver Membership,2015-02-12,No,Gift Vouchers/Coupons,?,Mobile_Data,19,432.37,35431.26,16.0,728.26,No,Yes,Yes,Unsolved,Products always in Stock,2
2224,62,M,Town,Platinum Membership,2015-03-14,Yes,Without Offers,Desktop,Wi-Fi,15,636.44,88309.89,2.0,776.75,Yes,Yes,No,Not Applicable,User Friendly Website,1
2225,34,F,City,No Membership,2017-01-03,?,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11,34.89,39203.5,15.0,,No,Yes,No,Not Applicable,Too many ads,5
2226,11,F,Town,Basic Membership,2016-10-15,?,Gift Vouchers/Coupons,Smartphone,Wi-Fi,24,31.17,12787.46,9.0,,Yes,No,Yes,No Information Available,Too many ads,4
2227,10,M,Town,Silver Membership,2015-05-03,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,13,1192.078921874532,49017.36,18.0,703.76,No,Yes,Yes,Solved,No reason specified,3
2228,18,F,Town,No Membership,2016-09-17,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,15,762.91,32869.75,13.0,609.85,Yes,No,No,Not Applicable,Poor Product Quality,5
2229,15,M,City,Gold Membership,2017-12-25,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,18,92.6,21500.04,17.0,671.24,Yes,No,Yes,No Information Available,No reason specified,4
2230,43,M,Village,Gold Membership,2017-02-17,?,Gift Vouchers/Coupons,Desktop,Mobile_Data,10,331.58,53815.27,8.0,726.67,Yes,Yes,No,Not Applicable,Products always in Stock,2
2231,55,F,Town,Gold Membership,2015-12-30,No,Without Offers,Smartphone,Wi-Fi,24,182.17,5278.84,25.0,709.79,Yes,No,No,Not Applicable,Too many ads,3
2232,25,M,Village,No Membership,2017-01-27,No,Without Offers,Desktop,Fiber_Optic,20,214.77,46038.72,,719.28,Yes,No,No,Not Applicable,Poor Website,4
2233,10,F,,Gold Membership,2017-01-02,No,Without Offers,Both,Mobile_Data,22,305.36,18049.15,25.0,715.0,Yes,No,No,Not Applicable,Poor Website,3
2234,33,F,City,Silver Membership,2017-04-17,No,Without Offers,Desktop,Mobile_Data,3,309.41,15095.13,27.0,718.14,Yes,No,No,Not Applicable,No reason specified,4
2235,14,M,Town,Gold Membership,2015-07-27,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,-999,104.42,38035.68,20.0,754.06,No,Yes,Yes,Solved,Too many ads,3
2236,30,M,Town,No Membership,2016-08-28,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,14,30.54,10023.53,14.0,600.58,No,Yes,Yes,Unsolved,Poor Website,4
2237,41,F,,Silver Membership,2017-09-07,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11,150.44,15928.39,15.0,678.54,Yes,No,Yes,Unsolved,Too many ads,4
2238,39,F,Village,Premium Membership,2016-07-15,No,Credit/Debit Card Offers,Desktop,Mobile_Data,17,321.45,3528.28,,761.05,No,Yes,Yes,Solved,Poor Product Quality,3
2239,36,M,City,No Membership,2017-11-24,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,7,-1081.406036133939,17158.48,11.0,656.9,Yes,No,No,Not Applicable,Too many ads,4
2240,28,F,City,Basic Membership,2016-12-14,No,Credit/Debit Card Offers,Desktop,Wi-Fi,16,86.27,23171.59,27.0,661.55,No,Yes,Yes,Unsolved,Too many ads,4
2241,52,M,Town,Basic Membership,2017-07-04,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,2,489.09,47586.07,10.0,672.11,Yes,No,Yes,Unsolved,Poor Customer Service,5
2242,28,F,City,No Membership,2015-04-16,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,15,64.1,34523.18,13.0,672.46,No,Yes,Yes,No Information Available,No reason specified,4
2243,42,M,Town,Premium Membership,2016-11-11,No,Without Offers,?,Mobile_Data,12,328.42,59643.48,1.0,,No,Yes,Yes,Solved in Follow-up,Quality Customer Care,1
2244,52,M,City,Premium Membership,2017-02-02,Yes,Without Offers,Desktop,Wi-Fi,11,36.23,7106.67,-10.47533243241611,721.6,Yes,No,Yes,Solved,Poor Website,3
2245,34,M,Town,Silver Membership,2015-08-17,Yes,Credit/Debit Card Offers,Both,Wi-Fi,9,338.62,13826.96,20.0,641.82,Yes,No,No,Not Applicable,Poor Product Quality,4
2246,60,F,City,Gold Membership,2017-09-13,Yes,Without Offers,Smartphone,Mobile_Data,12,1279.127872123028,22444.17,-15.753279221175504,795.73,Yes,No,Yes,Unsolved,Poor Product Quality,3
2248,31,M,Town,Premium Membership,2015-10-19,No,Without Offers,Smartphone,Wi-Fi,5,31.18,52129.52,17.0,811.2,No,Yes,No,Not Applicable,User Friendly Website,1
2249,37,F,City,No Membership,2016-10-30,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,9,1100.1374478990958,41130.11,,609.3,Yes,No,Yes,No Information Available,No reason specified,4
2250,57,M,,Gold Membership,2015-01-21,No,Without Offers,Desktop,Wi-Fi,13,440.33,7779.88,6.0,763.39,No,Yes,No,Not Applicable,User Friendly Website,2
2251,60,M,City,No Membership,2016-06-19,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,2,-1021.6154295489245,13241.8,16.0,533.76,No,Yes,Yes,Solved in Follow-up,Poor Website,5
2252,56,M,City,Platinum Membership,2015-05-01,No,Credit/Debit Card Offers,Desktop,Mobile_Data,6,106.98,86547.04,15.0,790.94,No,Yes,No,Not Applicable,Products always in Stock,2
2253,44,F,City,Basic Membership,2016-12-11,No,Credit/Debit Card Offers,Both,Fiber_Optic,13,443.84,30913.21,,695.04,Yes,No,No,Not Applicable,Too many ads,5
2254,35,F,,Premium Membership,2017-01-17,No,Without Offers,Both,Mobile_Data,17,470.45,73435.51,11.0,,Yes,No,No,Not Applicable,Quality Customer Care,2
2255,35,M,City,Platinum Membership,2016-10-20,No,Credit/Debit Card Offers,Both,Wi-Fi,20,482.77,8901.83,5.0,780.45,Yes,No,Yes,Solved in Follow-up,No reason specified,3
2256,41,M,City,Silver Membership,2016-12-08,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,21,161.57,49711.43,21.0,686.4,Yes,No,No,Not Applicable,Poor Product Quality,4
2257,12,M,City,No Membership,2016-09-23,?,Without Offers,Desktop,Wi-Fi,15,372.05,47418.27,18.0,696.18,No,Yes,Yes,Solved,No reason specified,4
2258,51,M,Town,Platinum Membership,2016-08-19,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,51.85,53952.44,14.0,760.83,No,Yes,No,Not Applicable,User Friendly Website,1
2259,56,F,Town,Platinum Membership,2015-05-30,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,12,180.43,48614.48,7.0,719.26,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,3
2260,14,M,Town,Gold Membership,2017-04-03,Yes,Without Offers,Smartphone,Mobile_Data,8,669.29,5730.89,10.0,705.92,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3
2261,23,F,Town,Basic Membership,2017-06-30,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,3,771.33,20482.43,24.0,559.66,Yes,No,No,Not Applicable,Poor Website,5
2262,13,F,Town,Silver Membership,2016-09-14,Yes,Without Offers,Desktop,Mobile_Data,14,110.65,42782.75,21.0,715.42,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,4
2264,57,F,Town,No Membership,2016-12-09,No,Without Offers,Desktop,Fiber_Optic,5,122.79,49491.95,39.2541090305892,582.82,Yes,No,Yes,Unsolved,Too many ads,5
2265,45,F,,Gold Membership,2017-03-19,No,Without Offers,Smartphone,Mobile_Data,15,84.16,25760.94,12.0,709.57,No,Yes,No,Not Applicable,Poor Product Quality,3
2266,51,M,City,No Membership,2017-04-14,Yes,Credit/Debit Card Offers,?,Mobile_Data,19,606.12,23218.67,,675.0,Yes,No,No,Not Applicable,Poor Product Quality,5
2267,51,M,Village,Gold Membership,2017-08-16,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,13,-412.1427557118661,30006.72,19.0,796.86,No,Yes,No,Not Applicable,Too many ads,3
2268,21,M,Village,Gold Membership,2015-01-16,No,Without Offers,?,Wi-Fi,10,348.98,51467.22,5.0,198.93358434535892,Yes,Yes,Yes,Unsolved,Products always in Stock,2
2269,61,F,Town,Platinum Membership,2016-01-26,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,64.27,35942.6,19.0,1358.0584054112478,Yes,No,No,Not Applicable,Reasonable Price,1
2270,39,F,Town,Basic Membership,2015-08-23,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,22,1308.3871914424851,24470.77,10.0,626.61,No,Yes,No,Not Applicable,Poor Product Quality,4
2271,15,F,City,Silver Membership,2017-09-06,No,Credit/Debit Card Offers,Desktop,Wi-Fi,16,97.16,18998.03,15.0,736.19,No,Yes,No,Not Applicable,Too many ads,3
2272,37,M,City,Silver Membership,2016-12-29,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,11,34.28,39705.07,10.0,686.7,No,Yes,No,Not Applicable,Poor Product Quality,4
2273,64,F,Town,Gold Membership,2017-05-22,Yes,Without Offers,Smartphone,Fiber_Optic,11,539.94,43723.0,16.0,737.4,No,Yes,No,Not Applicable,No reason specified,3
2274,60,M,,Basic Membership,2015-08-06,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14,66.88,21312.0,22.0,603.76,Yes,No,No,Not Applicable,Too many ads,5
2275,53,M,Village,Basic Membership,2017-10-05,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,11,30.58,11717.23,,1004.5346385323924,No,Yes,Yes,Unsolved,No reason specified,5
2276,28,M,,Basic Membership,2016-09-03,No,Without Offers,Smartphone,Fiber_Optic,18,-1004.3770844610788,21608.75,,520.68,Yes,No,Yes,No Information Available,Poor Website,5
2277,51,M,City,Gold Membership,2017-05-08,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,3,142.03,19950.65,6.0,336.72429258827066,Yes,No,No,Not Applicable,No reason specified,3
2278,58,F,City,Platinum Membership,2017-05-29,Yes,Without Offers,Smartphone,Mobile_Data,23,75.51,14804.89,19.0,771.08,Yes,No,No,Not Applicable,Poor Website,3
2280,44,M,Town,Premium Membership,2015-06-14,?,Gift Vouchers/Coupons,Smartphone,Mobile_Data,10,31.85,38825.42,22.0,760.76,No,Yes,No,Not Applicable,Poor Customer Service,3
2281,15,M,City,Gold Membership,2017-07-14,No,,Smartphone,Fiber_Optic,11,76.96,67011.86,12.0,223.6619093205306,No,Yes,Yes,Solved,Reasonable Price,2
2282,36,M,Town,Platinum Membership,2016-11-21,Yes,Without Offers,Both,Mobile_Data,11,238.24,35147.24,6.0,798.76,Yes,No,No,Not Applicable,Poor Website,3
2283,36,F,City,Silver Membership,2016-05-14,No,Without Offers,Smartphone,Fiber_Optic,-999,186.98,32334.04,11.0,796.82,No,Yes,Yes,No Information Available,No reason specified,3
2284,30,F,City,Silver Membership,2017-07-05,Yes,Without Offers,Smartphone,Fiber_Optic,18,53.17,22868.9,23.0,638.83,No,Yes,No,Not Applicable,Too many ads,4
2285,22,F,Town,Platinum Membership,2016-02-02,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,13,185.48,11568.58,14.0,759.42,Yes,No,Yes,Unsolved,No reason specified,3
2286,13,M,,Basic Membership,2016-08-24,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,22,45.54,18636.66,5.0,719.43,Yes,No,Yes,Solved in Follow-up,Too many ads,4
2287,24,M,Town,Gold Membership,2016-04-26,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,8,176.61,35689.68,9.0,686.29,No,Yes,Yes,Solved,Poor Product Quality,4
2288,57,F,City,Basic Membership,2017-05-06,Yes,Without Offers,Smartphone,Wi-Fi,8,60.61,44498.48,,621.29,No,Yes,Yes,Solved,Poor Product Quality,4
2289,52,F,Village,Basic Membership,2017-10-12,No,Credit/Debit Card Offers,?,Fiber_Optic,11,173.45,36433.32,26.0,717.83,No,Yes,No,Not Applicable,No reason specified,4
2290,62,M,Town,Basic Membership,2016-08-05,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,9,1210.486977997345,20905.46,,651.75,No,Yes,No,Not Applicable,Too many ads,5
2291,21,F,City,Gold Membership,2015-04-01,No,Without Offers,Desktop,Wi-Fi,22,158.44,22197.25,22.0,714.65,No,Yes,Yes,No Information Available,Poor Customer Service,4
2292,43,M,City,Gold Membership,2015-04-03,Yes,Gift Vouchers/Coupons,?,Mobile_Data,7,725.58,27022.0,10.0,714.45,Yes,Yes,Yes,Solved,Products always in Stock,2
2293,44,F,Town,Silver Membership,2017-08-01,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,16,552.0,93700.95,5.0,1185.3337484410656,Yes,No,Yes,No Information Available,User Friendly Website,2
2294,16,M,,Basic Membership,2015-03-03,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,16,54.4,18355.53,7.0,213.17633928590627,No,Yes,Yes,Unsolved,Poor Product Quality,5
2295,53,M,,No Membership,2015-04-24,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,18,34.25,5792.34,18.0,589.67,Yes,No,Yes,Solved in Follow-up,No reason specified,5
2296,27,M,,Gold Membership,2017-10-17,Yes,Without Offers,Desktop,Wi-Fi,10,32.83,46877.18,9.0,765.52,No,Yes,Yes,No Information Available,No reason specified,3
2297,19,F,City,No Membership,2016-08-01,?,Credit/Debit Card Offers,Smartphone,Wi-Fi,16,163.31,15069.28,14.0,636.87,No,Yes,No,Not Applicable,Poor Product Quality,4
2298,31,F,City,Premium Membership,2015-09-21,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,12,95.48,70200.12,19.0,796.34,No,Yes,No,Not Applicable,User Friendly Website,1
2299,23,M,Village,Silver Membership,2015-12-24,No,Without Offers,Desktop,Wi-Fi,20,376.78,30301.77,5.0,713.45,Yes,No,No,Not Applicable,Poor Product Quality,3
2300,31,F,City,Gold Membership,2017-03-19,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,6,453.54,75299.67,12.0,758.21,No,Yes,No,Not Applicable,Products always in Stock,1
2301,39,F,,Gold Membership,2016-07-15,Yes,Without Offers,Smartphone,Wi-Fi,14,167.41,43986.99,17.0,749.14,Yes,No,No,Not Applicable,Poor Website,3
2302,32,F,,Basic Membership,2017-03-19,No,Without Offers,Smartphone,Mobile_Data,19,78.25,26486.27,16.0,689.84,Yes,No,Yes,Unsolved,Poor Website,4
2303,15,M,Town,Platinum Membership,2016-02-10,No,Without Offers,Smartphone,Fiber_Optic,14,190.36,29009.27,21.0,774.4,No,Yes,No,Not Applicable,Poor Customer Service,3
2304,17,M,,Premium Membership,2016-06-19,No,Without Offers,Smartphone,Wi-Fi,7,105.5,43656.22,8.0,754.76,Yes,No,No,Not Applicable,User Friendly Website,2
2305,37,F,,Gold Membership,2016-01-21,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,21,-860.9759196646913,20247.71,21.0,470.1607596727485,No,Yes,Yes,No Information Available,Poor Website,3
2306,64,F,,No Membership,2015-04-25,Yes,Without Offers,Smartphone,Wi-Fi,11,88.59,5578.01,20.0,573.02,No,Yes,Yes,No Information Available,Poor Customer Service,5
2307,18,M,Town,Gold Membership,2015-04-11,No,Without Offers,Smartphone,Wi-Fi,12,190.7,85539.05,11.0,787.49,Yes,No,No,Not Applicable,User Friendly Website,1
2308,53,F,Town,Premium Membership,2016-08-31,No,Credit/Debit Card Offers,Desktop,Mobile_Data,14,479.74,31378.4,29.0,,Yes,Yes,No,Not Applicable,Poor Website,3
2309,62,M,,Basic Membership,2016-01-11,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,10,154.07,5577.63,18.0,605.55,No,Yes,Yes,Unsolved,Poor Website,4
2310,60,F,Town,No Membership,2016-11-01,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,10,108.93,3185.86,27.0,622.14,Yes,No,Yes,Unsolved,No reason specified,4
2311,58,M,Town,Premium Membership,2015-03-31,No,Credit/Debit Card Offers,Desktop,Mobile_Data,13,446.84,15511.23,9.0,1070.8487847458214,No,Yes,Yes,No Information Available,Poor Website,3
2312,37,M,,Platinum Membership,2016-02-21,No,Without Offers,Desktop,Fiber_Optic,6,386.23,19942.44,,736.24,Yes,No,Yes,Solved in Follow-up,No reason specified,3
2313,33,F,City,Premium Membership,2017-12-28,Yes,Without Offers,Smartphone,Wi-Fi,3,33.24,9330.0,28.0,1673.5309382035764,No,Yes,Yes,Solved,Poor Website,3
2314,61,M,Town,Gold Membership,2017-02-08,Yes,Without Offers,Desktop,Fiber_Optic,6,52.73,4967.47,26.0,770.16,Yes,No,Yes,Unsolved,No reason specified,3
2315,37,M,City,Gold Membership,2016-06-28,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,18,177.22,2102.02,19.0,710.83,No,Yes,Yes,Solved,Poor Customer Service,4
2316,32,F,Town,Premium Membership,2016-03-19,?,Without Offers,?,Mobile_Data,20,102.31,38971.06,20.0,791.03,No,Yes,No,Not Applicable,Poor Customer Service,3
2317,48,F,Town,Basic Membership,2016-01-26,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,15,169.22,18874.81,12.0,196.9930011433319,No,Yes,No,Not Applicable,Too many ads,4
2318,11,F,City,Basic Membership,2017-12-27,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,19,259.11,20983.16,12.0,538.51,Yes,Yes,Yes,No Information Available,Too many ads,5
2319,24,F,Town,No Membership,2017-04-17,Yes,Without Offers,Smartphone,Wi-Fi,11,47.18,30624.88,29.0,706.64,Yes,No,No,Not Applicable,No reason specified,4
2320,10,F,Town,Gold Membership,2017-05-20,No,Credit/Debit Card Offers,Desktop,Mobile_Data,24,44.39,5028.65,19.0,,Yes,No,Yes,Solved,No reason specified,3
2321,47,F,,Premium Membership,2015-10-28,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,16,376.23,21243.57,,775.61,No,Yes,No,Not Applicable,Too many ads,3
2322,55,M,City,Silver Membership,2015-03-22,No,Credit/Debit Card Offers,Desktop,Mobile_Data,-999,31.16,9630.75,13.0,706.22,No,Yes,No,Not Applicable,No reason specified,3
2323,30,F,Village,No Membership,2015-05-13,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,2,384.52,18744.46,,662.38,Yes,No,No,Not Applicable,No reason specified,5
